status,path,area,disposition,review_state,rationale
 M,.gitattributes,repository,semantic_review_required,pending,Repository-level change must be reconciled before release freeze.
 M,.github/workflows/pfterminal-release.yml,repository,semantic_review_required,pending,Repository-level change must be reconciled before release freeze.
 M,CHANGELOG.md,repository,semantic_review_required,pending,Repository-level change must be reconciled before release freeze.
??,FORK_POLICY.md,release_documentation,retain,pending,"Release policy, incident evidence, or execution specification."
 M,GPU-RENTAL-QUALIFICATION-20260716.md,repository,semantic_review_required,pending,Repository-level change must be reconciled before release freeze.
 M,MODULE.bazel.lock,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,README.md,repository,semantic_review_required,pending,Repository-level change must be reconciled before release freeze.
 M,codex-rs/Cargo.lock,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/Cargo.toml,Cargo.toml,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/analytics/src/analytics_client_tests.rs,analytics,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/analytics/src/client_tests.rs,analytics,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/app-server-client/README.md,app-server-client,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/app-server-client/src/lib.rs,app-server-client,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/app-server-client/src/remote.rs,app-server-client,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/app-server-protocol/schema/json/ClientRequest.json,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/json/ServerNotification.json,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/json/codex_app_server_protocol.schemas.json,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/json/codex_app_server_protocol.v2.schemas.json,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/json/v2/LoginAccountParams.json,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/json/v2/RawResponseItemCompletedNotification.json,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/json/v2/ThreadForkResponse.json,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/json/v2/ThreadListResponse.json,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/json/v2/ThreadMetadataUpdateResponse.json,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/json/v2/ThreadReadResponse.json,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/json/v2/ThreadResumeParams.json,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/json/v2/ThreadResumeResponse.json,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/json/v2/ThreadRollbackResponse.json,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/json/v2/ThreadStartResponse.json,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/json/v2/ThreadStartedNotification.json,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/json/v2/ThreadUnarchiveResponse.json,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/precomputed/app-server-exports-experimental.json.zst,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/precomputed/app-server-exports-stable.json.zst,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/typescript/ResponseItem.ts,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
??,codex-rs/app-server-protocol/schema/typescript/RuntimeSelectionSource.ts,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/typescript/index.ts,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/typescript/v2/CodexErrorInfo.ts,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/typescript/v2/LoginAccountParams.ts,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/typescript/v2/Thread.ts,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/typescript/v2/ThreadItem.ts,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
??,codex-rs/app-server-protocol/schema/typescript/v2/ThreadRuntimeRoute.ts,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/schema/typescript/v2/index.ts,generated_artifact,regenerate_and_review,pending,Generated output must match the frozen semantic source and have no pending drift.
 M,codex-rs/app-server-protocol/src/protocol/common.rs,app-server-protocol,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/app-server-protocol/src/protocol/v2/item.rs,app-server-protocol,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/app-server-protocol/src/protocol/v2/tests.rs,app-server-protocol,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/app-server-protocol/src/protocol/v2/thread.rs,app-server-protocol,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/app-server-protocol/src/protocol/v2/thread_data.rs,app-server-protocol,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/app-server/README.md,app-server,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/app-server/src/external_agent_migration/session_importer.rs,app-server,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/app-server/src/in_process.rs,app-server,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/app-server/src/message_processor.rs,app-server,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/app-server/src/message_processor_tracing_tests.rs,app-server,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/app-server/src/models.rs,app-server,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/app-server/src/request_processors.rs,app-server,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/app-server/src/request_processors/account_processor.rs,app-server,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/app-server/src/request_processors/feedback_processor.rs,app-server,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/app-server/src/request_processors/thread_enrichment.rs,app-server,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/app-server/src/request_processors/thread_processor.rs,app-server,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/app-server/src/request_processors/thread_processor_tests.rs,app-server,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/app-server/src/request_processors/thread_resume_redaction.rs,app-server,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/app-server/src/request_processors/thread_summary.rs,app-server,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
 M,codex-rs/app-server/src/request_processors/turn_processor.rs,app-server,semantic_review_required,pending,Changed crate must receive a release disposition and targeted qualification.
